ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,716.4403,512.32837,0.027450982,0.22580644
1,1,1,1,MOVE,24,716.4403,511.078,0.0627451,0.516129
1,1,1,1,MOVE,41,715.44104,510.52704,0.078431375,0.6451613
1,1,1,1,MOVE,57,715.44104,508.9864,0.10588236,0.87096775
1,1,1,1,MOVE,74,715.44104,509.3321,0.11764707,0.9677419
1,1,1,1,MOVE,90,715.44104,509.3321,0.13725491,0.12903225
1,1,1,1,MOVE,107,715.44104,509.3321,0.15294118,0.12903225
1,1,1,1,MOVE,123,714.44183,508.33337,0.16078432,0.16129032
1,1,1,1,MOVE,140,713.32,507.21204,0.16862746,0.16129032
1,1,1,1,MOVE,156,712.76624,506.33582,0.17254902,0.16129032
1,1,1,1,MOVE,173,712.4434,505.10626,0.18039216,0.16129032
1,1,1,1,MOVE,190,711.44415,504.33832,0.18431373,0.16129032
1,1,1,1,MOVE,206,711.44415,503.00122,0.18431373,0.16129032
1,1,1,1,MOVE,223,711.44415,502.34082,0.18431373,0.16129032
1,1,1,1,MOVE,239,709.9927,500.89008,0.18431373,0.16129032
1,1,1,1,MOVE,256,709.4364,500.34332,0.18431373,0.16129032
1,1,1,1,MOVE,272,708.44653,498.78387,0.18431373,0.16129032
1,1,1,1,MOVE,289,707.32587,497.2257,0.18431373,0.16129032
1,1,1,1,MOVE,305,706.77545,496.34833,0.18431373,0.16129032
1,1,1,1,MOVE,322,706.44806,493.9073,0.18431373,0.16129032
1,1,1,1,MOVE,339,705.66833,491.79333,0.18431373,0.16129032
1,1,1,1,MOVE,355,705.44885,488.6881,0.18431373,0.16129032
1,1,1,1,MOVE,372,704.44965,486.5762,0.18431373,0.16129032
1,1,1,1,MOVE,388,703.0083,483.47943,0.18039216,0.16129032
1,1,1,1,MOVE,405,702.4488,480.36343,0.18039216,0.16129032
1,1,1,1,MOVE,421,701.45197,476.70065,0.18039216,0.16129032
1,1,1,1,MOVE,438,700.3421,473.1558,0.18039216,0.16129032
1,1,1,1,MOVE,455,699.78906,470.05273,0.1764706,0.16129032
1,1,1,1,MOVE,471,699.45355,466.9537,0.1764706,0.16129032
1,1,1,1,MOVE,488,699.45355,462.83987,0.1764706,0.16129032
1,1,1,1,MOVE,504,699.45355,458.40616,0.1764706,0.16129032
1,1,1,1,MOVE,521,699.45355,453.73096,0.1764706,0.16129032
1,1,1,1,MOVE,537,699.45355,449.0807,0.1764706,0.16129032
1,1,1,1,MOVE,554,699.45355,444.40674,0.1764706,0.16129032
1,1,1,1,MOVE,570,699.45355,439.74976,0.1764706,0.16129032
1,1,1,1,MOVE,587,698.34686,435.10217,0.1764706,0.16129032
1,1,1,1,MOVE,604,697.7891,431.43225,0.1764706,0.16129032
1,1,1,1,MOVE,620,696.23126,427.9842,0.1764706,0.16129032
1,1,1,1,MOVE,637,695.6816,424.1139,0.1764706,0.16129032
1,1,1,1,MOVE,653,694.1292,420.7858,0.1764706,0.16129032
1,1,1,1,MOVE,670,693.57153,416.78784,0.18039216,0.16129032
1,1,1,1,MOVE,686,692.0207,413.57437,0.18039216,0.16129032
1,1,1,1,MOVE,703,691.4618,411.45648,0.18039216,0.16129032
1,1,1,1,MOVE,720,690.4606,407.35556,0.18039216,0.16129032
1,1,1,1,MOVE,736,689.35895,403.15732,0.18039216,0.16129032
1,1,1,1,MOVE,753,688.46216,400.15155,0.18039216,0.16129032
1,1,1,1,MOVE,769,687.24756,397.04147,0.18039216,0.16129032
1,1,1,1,MOVE,786,686.4637,392.16312,0.18039216,0.16129032
1,1,1,1,MOVE,802,685.14594,388.84506,0.18039216,0.16129032
1,1,1,1,MOVE,819,683.5845,384.84326,0.18039216,0.16129032
1,1,1,1,MOVE,835,683.46606,383.05453,0.18039216,0.16129032
1,1,1,1,MOVE,852,681.4722,378.50485,0.18039216,0.16129032
1,1,1,1,MOVE,869,680.92114,375.95197,0.18039216,0.16129032
1,1,1,1,MOVE,885,679.371,373.30554,0.18039216,0.16129032
1,1,1,1,MOVE,902,678.8118,370.84732,0.18039216,0.16129032
1,1,1,1,MOVE,918,677.2626,368.09207,0.18039216,0.16129032
1,1,1,1,MOVE,935,676.70654,364.2192,0.18039216,0.16129032
1,1,1,1,MOVE,951,675.1568,360.88617,0.18039216,0.16129032
1,1,1,1,MOVE,968,674.5952,357.76602,0.18039216,0.16129032
1,1,1,1,MOVE,984,673.05194,354.68082,0.18039216,0.16129032
1,1,1,1,MOVE,1001,672.4874,351.55502,0.18039216,0.16129032
1,1,1,1,MOVE,1018,671.93335,349.4486,0.1764706,0.16129032
1,1,1,1,MOVE,1034,671.4754,346.3467,0.17254902,0.16129032
1,1,1,1,MOVE,1051,671.4754,344.23483,0.17254902,0.16129032
1,1,1,1,MOVE,1067,671.4754,341.13626,0.17254902,0.16129032
1,1,1,1,MOVE,1084,670.4762,337.26517,0.17254902,0.16129032
1,1,1,1,MOVE,1101,669.1811,332.66455,0.17254902,0.16129032
1,1,1,1,MOVE,1117,668.4777,327.96835,0.1764706,0.16129032
1,1,1,1,MOVE,1134,667.06244,323.31537,0.1764706,0.16129032
1,1,1,1,MOVE,1150,664.5295,318.64343,0.1764706,0.16129032
1,1,1,1,MOVE,1167,662.9527,315.5157,0.18039216,0.16129032
1,1,1,1,MOVE,1183,661.39667,312.405,0.18039216,0.16129032
1,1,1,1,MOVE,1200,660.84235,310.29816,0.18039216,0.16129032
1,1,1,1,MOVE,1216,659.29376,307.20236,0.18039216,0.16129032
1,1,1,1,MOVE,1233,658.7368,303.34393,0.18039216,0.16129032
1,1,1,1,MOVE,1250,657.1847,298.68973,0.18431373,0.16129032
1,1,1,1,MOVE,1266,656.6304,294.0313,0.18431373,0.16129032
1,1,1,1,MOVE,1283,655.0772,289.37393,0.19215688,0.19354838
1,1,1,1,MOVE,1299,654.51886,284.70343,0.19607845,0.19354838
1,1,1,1,MOVE,1316,653.48944,281.57248,0.20000002,0.19354838
1,1,1,1,MOVE,1332,652.41046,279.53952,0.20000002,0.19354838
1,1,1,1,MOVE,1349,651.491,276.35904,0.20000002,0.19354838
1,1,1,1,MOVE,1365,650.3081,274.44186,0.20000002,0.19354838
1,1,1,1,MOVE,1382,649.7493,271.1437,0.20000002,0.19354838
1,1,1,1,MOVE,1399,649.49255,269.33838,0.20000002,0.19354838
1,1,1,1,MOVE,1415,649.49255,265.93854,0.20000002,0.19354838
1,1,1,1,MOVE,1432,649.49255,264.2333,0.20000002,0.19354838
1,1,1,1,MOVE,1448,649.49255,260.72147,0.20000002,0.19354838
1,1,1,1,MOVE,1465,649.49255,258.6152,0.20000002,0.19354838
1,1,1,1,MOVE,1481,649.49255,255.49994,0.20392159,0.19354838
1,1,1,1,MOVE,1498,649.49255,254.0263,0.20392159,0.19354838
1,1,1,1,MOVE,1515,649.49255,253.6517,0.20392159,0.19354838
1,1,1,1,MOVE,1531,649.49255,251.18127,0.20392159,0.19354838
1,1,1,1,MOVE,1548,649.49255,249.37155,0.20392159,0.19354838
1,1,1,1,MOVE,1564,648.49335,247.81116,0.20392159,0.19354838
1,1,1,1,MOVE,1581,647.09503,246.26147,0.20784315,0.19354838
1,1,1,1,MOVE,1597,647.49414,245.70776,0.21176472,0.19354838
1,1,1,1,MOVE,1614,647.49414,244.16357,0.21568629,0.19354838
1,1,1,1,MOVE,1630,647.49414,243.60059,0.21568629,0.19354838
1,1,1,1,MOVE,1647,647.49414,242.04745,0.21568629,0.19354838
1,1,1,1,MOVE,1664,647.49414,241.66669,0.21568629,0.19354838
1,1,1,1,MOVE,1680,647.49414,239.93762,0.21568629,0.19354838
1,1,1,1,MOVE,1697,647.49414,239.66916,0.21960786,0.22580644
1,1,1,1,MOVE,1713,647.49414,237.83572,0.22352943,0.22580644
1,1,1,1,MOVE,1730,647.49414,237.67166,0.227451,0.22580644
1,1,1,1,MOVE,1746,647.49414,235.72769,0.227451,0.22580644
1,1,1,1,MOVE,1763,647.49414,235.67416,0.227451,0.22580644
1,1,1,1,MOVE,1780,647.49414,233.60986,0.227451,0.22580644
1,1,1,1,MOVE,1796,647.49414,233.06113,0.227451,0.22580644
1,1,1,1,MOVE,1813,647.49414,231.51523,0.227451,0.22580644
1,1,1,1,MOVE,1829,647.49414,230.95842,0.227451,0.22580644
1,1,1,1,MOVE,1846,647.49414,229.4113,0.23137257,0.22580644
1,1,1,1,MOVE,1862,647.49414,228.85278,0.23529413,0.22580644
1,1,1,1,MOVE,1879,647.49414,227.30049,0.2392157,0.22580644
1,1,1,1,MOVE,1895,646.49493,226.74411,0.24313727,0.22580644
1,1,1,1,MOVE,1912,646.49493,225.19193,0.24313727,0.22580644
1,1,1,1,MOVE,1929,646.49493,224.6377,0.24705884,0.22580644
1,1,1,1,MOVE,1945,646.49493,223.68915,0.2509804,0.2580645
1,1,1,1,MOVE,1962,645.33624,222.531,0.25490198,0.2580645
1,1,1,1,MOVE,1978,645.4957,221.69164,0.25882354,0.2580645
1,1,1,1,MOVE,1995,645.4957,220.42493,0.25882354,0.2580645
1,1,1,1,MOVE,2011,645.4957,219.69414,0.25882354,0.2580645
1,1,1,1,MOVE,2028,645.4957,218.31165,0.25882354,0.2580645
1,1,1,1,MOVE,2045,645.4957,217.69664,0.25882354,0.2580645
1,1,1,1,MOVE,2061,645.4957,216.20255,0.25882354,0.2580645
1,1,1,1,MOVE,2078,644.49646,215.69913,0.25882354,0.2580645
1,1,1,1,MOVE,2094,643.49725,214.09831,0.2627451,0.2580645
1,1,1,1,MOVE,2111,643.49725,213.70163,0.27058825,0.2580645
1,1,1,1,MOVE,2127,643.49725,211.99026,0.27058825,0.2580645
1,1,1,1,MOVE,2144,643.49725,211.70413,0.27058825,0.2580645
1,1,1,1,MOVE,2161,643.49725,209.88168,0.27058825,0.2580645
1,1,1,1,MOVE,2177,643.49725,209.70662,0.27450982,0.2580645
1,1,1,1,MOVE,2194,643.49725,209.70662,0.2784314,0.2580645
1,1,1,1,MOVE,2210,643.49725,209.70662,0.28627452,0.29032257
1,1,1,1,MOVE,2227,643.49725,209.70662,0.2901961,0.29032257
1,1,1,1,MOVE,2243,643.49725,208.70787,0.2901961,0.29032257
1,1,1,1,MOVE,2260,643.49725,208.70787,0.2901961,0.29032257
1,1,1,1,MOVE,2276,643.49725,207.70912,0.2901961,0.29032257
1,1,1,1,MOVE,2293,643.49725,206.45476,0.29411766,0.29032257
1,1,1,1,MOVE,2310,643.49725,206.71037,0.29803923,0.29032257
1,1,1,1,MOVE,2326,643.49725,206.71037,0.3019608,0.29032257
1,1,1,1,MOVE,2343,643.49725,206.71037,0.3019608,0.29032257
1,1,1,1,MOVE,2359,643.49725,206.71037,0.3019608,0.29032257
1,1,1,1,MOVE,2376,643.49725,205.67389,0.29803923,0.29032257
1,1,1,1,MOVE,2392,643.49725,205.71161,0.29803923,0.29032257
1,1,1,1,MOVE,2409,643.49725,205.71161,0.3019608,0.29032257
1,1,1,1,MOVE,2425,643.49725,205.01268,0.30588236,0.29032257
1,1,1,1,MOVE,2442,643.49725,204.71286,0.30980393,0.29032257
1,1,1,1,MOVE,2459,643.49725,204.71286,0.30980393,0.29032257
1,1,1,1,MOVE,2475,643.49725,204.71286,0.31764707,0.32258064
1,1,1,1,MOVE,2492,642.57446,204.71286,0.31764707,0.32258064
1,1,1,1,MOVE,2508,642.49805,204.71286,0.31764707,0.32258064
1,1,1,1,MOVE,2525,640.4624,204.71286,0.3254902,0.32258064
1,1,1,1,MOVE,2541,639.9122,204.71286,0.32941177,0.32258064
1,1,1,1,MOVE,2558,638.3611,204.71286,0.3372549,0.32258064
1,1,1,1,MOVE,2575,637.804,204.71286,0.34509805,0.3548387
1,1,1,1,MOVE,2591,637.50195,204.71286,0.36078432,0.3548387
1,1,1,1,MOVE,2608,637.50195,204.71286,0.3647059,0.3548387
1,1,1,1,MOVE,2624,637.50195,204.71286,0.36862746,0.3548387
1,1,1,1,MOVE,2641,637.50195,204.71286,0.36862746,0.3548387
1,1,1,1,MOVE,2657,637.50195,204.71286,0.37647063,0.38709676
1,1,1,1,MOVE,2674,636.50275,204.71286,0.3921569,0.38709676
1,1,1,1,MOVE,2691,635.50354,204.71286,0.40000004,0.38709676
1,1,1,1,MOVE,2707,635.50354,204.71286,0.40784317,0.41935483
1,1,1,1,MOVE,2724,635.50354,204.71286,0.41960788,0.41935483
1,1,1,1,MOVE,2740,635.50354,204.71286,0.43137258,0.41935483
1,1,1,1,MOVE,2754,635.50354,204.71286,0.43921572,0.4516129
1,1,1,1,MOVE,2769,635.50354,204.71286,0.4431373,0.4516129
1,1,1,1,MOVE,2790,635.50354,204.71286,0.45882356,0.4516129
1,1,1,1,MOVE,2819,635.50354,204.71286,0.4666667,0.4516129
1,1,1,1,MOVE,2840,635.50354,204.71286,0.47058827,0.48387095
1,1,1,1,MOVE,2866,635.50354,204.71286,0.4666667,0.4516129
1,1,1,1,MOVE,2889,635.50354,204.71286,0.46274513,0.4516129
1,1,1,1,MOVE,2922,635.50354,204.71286,0.454902,0.4516129
1,1,1,1,MOVE,2937,635.50354,204.71286,0.44705886,0.4516129
1,1,1,1,MOVE,2953,635.50354,204.71286,0.45098042,0.4516129
1,1,1,1,MOVE,2972,635.50354,204.71286,0.4666667,0.4516129
1,1,1,1,MOVE,3002,635.50354,204.71286,0.4784314,0.48387095
1,1,1,1,MOVE,3022,635.50354,204.71286,0.48627454,0.48387095
1,1,1,1,MOVE,3050,635.50354,204.71286,0.48235297,0.48387095
1,1,1,1,MOVE,3071,635.50354,204.71286,0.4784314,0.48387095
1,1,1,1,MOVE,3105,635.50354,204.71286,0.47450984,0.48387095
1,1,1,1,MOVE,3121,635.50354,204.71286,0.4666667,0.4516129
1,1,1,1,MOVE,3136,635.50354,204.71286,0.47058827,0.48387095
1,1,1,1,MOVE,3154,635.50354,204.71286,0.48235297,0.48387095
1,1,1,1,MOVE,3186,635.50354,204.71286,0.47058827,0.48387095
1,1,1,1,MOVE,3204,635.50354,204.71286,0.47450984,0.48387095
1,1,1,1,MOVE,3233,635.50354,204.71286,0.4666667,0.4516129
1,1,1,1,MOVE,3254,635.50354,204.71286,0.454902,0.4516129
1,1,1,1,MOVE,3287,635.50354,204.71286,0.4431373,0.4516129
1,1,1,1,MOVE,3303,635.50354,204.71286,0.42352945,0.41935483
1,1,1,1,MOVE,3320,634.00464,204.71286,0.43137258,0.41935483
1,1,1,1,MOVE,3345,634.5043,204.71286,0.45098042,0.4516129
1,1,1,1,MOVE,3369,633.17084,204.71286,0.4666667,0.4516129
1,1,1,1,MOVE,3386,633.50507,204.71286,0.43529415,0.41935483
1,1,1,1,MOVE,3417,633.50507,204.71286,0.43529415,0.41935483
1,1,1,1,MOVE,3436,633.50507,204.71286,0.43137258,0.41935483
1,1,1,1,MOVE,3469,633.50507,204.71286,0.42352945,0.41935483
1,1,1,1,MOVE,3485,633.50507,204.71286,0.40784317,0.41935483
1,1,1,1,MOVE,3502,633.50507,204.71286,0.41960788,0.41935483
1,1,1,1,MOVE,3529,633.50507,204.71286,0.43921572,0.4516129
1,1,1,1,MOVE,3552,633.50507,204.71286,0.454902,0.4516129
1,1,1,1,MOVE,3576,633.50507,204.71286,0.4666667,0.4516129
1,1,1,1,MOVE,3600,633.50507,204.71286,0.4666667,0.4516129
1,1,1,1,MOVE,3618,633.50507,204.71286,0.4666667,0.4516129
1,1,1,1,MOVE,3651,634.5043,204.71286,0.4666667,0.4516129
1,1,1,1,MOVE,3668,634.5043,204.71286,0.44705886,0.4516129
1,1,1,1,MOVE,3684,634.5043,204.71286,0.454902,0.4516129
1,1,1,1,MOVE,3713,634.5043,204.71286,0.47058827,0.48387095
1,1,1,1,MOVE,3734,634.5043,204.71286,0.48235297,0.48387095
1,1,1,1,MOVE,3760,634.5043,204.71286,0.49411768,0.48387095
1,1,1,1,MOVE,3784,634.5043,204.71286,0.49411768,0.48387095
1,1,1,1,MOVE,3808,634.5043,204.71286,0.4784314,0.48387095
1,1,1,1,MOVE,3832,634.5043,204.71286,0.47450984,0.48387095
1,1,1,1,MOVE,3850,634.5043,204.71286,0.45098042,0.4516129
1,1,1,1,MOVE,3866,634.5043,204.71286,0.46274513,0.4516129
1,1,1,1,MOVE,3897,634.5043,204.71286,0.4784314,0.48387095
1,1,1,1,MOVE,3916,634.5043,204.71286,0.4901961,0.48387095
1,1,1,1,MOVE,3945,634.5043,204.71286,0.49803925,0.48387095
