ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,573.55194,583.2397,0.027450982,0.22580644
1,1,1,1,MOVE,11,573.55194,582.1849,0.043137256,0.3548387
1,1,1,1,MOVE,28,573.55194,581.634,0.058823533,0.48387095
1,1,1,1,MOVE,45,573.55194,580.0824,0.08627451,0.7096774
1,1,1,1,MOVE,60,573.55194,579.6052,0.098039225,0.80645156
1,1,1,1,MOVE,77,573.55194,578.04895,0.121568635,1.0
1,1,1,1,MOVE,93,573.55194,577.5002,0.12941177,0.12903225
1,1,1,1,MOVE,110,573.55194,575.94855,0.14509805,0.12903225
1,1,1,1,MOVE,127,573.55194,575.39154,0.15294118,0.12903225
1,1,1,1,MOVE,143,573.55194,573.8424,0.16078432,0.16129032
1,1,1,1,MOVE,160,573.55194,573.2868,0.16470589,0.16129032
1,1,1,1,MOVE,176,573.55194,571.7327,0.17254902,0.16129032
1,1,1,1,MOVE,193,573.55194,570.1793,0.18039216,0.16129032
1,1,1,1,MOVE,209,573.55194,567.007,0.18039216,0.16129032
1,1,1,1,MOVE,226,573.55194,565.08167,0.18823531,0.19354838
1,1,1,1,MOVE,242,573.55194,561.7966,0.18823531,0.19354838
1,1,1,1,MOVE,259,573.55194,558.6947,0.18823531,0.19354838
1,1,1,1,MOVE,276,573.55194,553.735,0.18823531,0.19354838
1,1,1,1,MOVE,292,573.55194,549.083,0.18823531,0.19354838
1,1,1,1,MOVE,309,574.5063,543.46893,0.18823531,0.19354838
1,1,1,1,MOVE,325,575.0611,537.2557,0.18823531,0.19354838
1,1,1,1,MOVE,342,576.6201,529.9534,0.18823531,0.19354838
1,1,1,1,MOVE,358,578.1638,522.6226,0.18823531,0.19354838
1,1,1,1,MOVE,375,579.72003,513.28973,0.18823531,0.19354838
1,1,1,1,MOVE,392,581.27936,504.67047,0.18823531,0.19354838
1,1,1,1,MOVE,408,584.1205,495.61884,0.18823531,0.19354838
1,1,1,1,MOVE,425,585.3859,486.30127,0.18823531,0.19354838
1,1,1,1,MOVE,441,586.93304,478.4126,0.19215688,0.19354838
1,1,1,1,MOVE,458,588.4893,471.58316,0.19215688,0.19354838
1,1,1,1,MOVE,474,590.03906,463.8889,0.20000002,0.19354838
1,1,1,1,MOVE,491,590.53864,458.16278,0.20392159,0.19354838
1,1,1,1,MOVE,507,591.53784,451.33682,0.20392159,0.19354838
1,1,1,1,MOVE,524,592.70416,444.74405,0.20392159,0.19354838
1,1,1,1,MOVE,541,594.2585,436.80914,0.20784315,0.19354838
1,1,1,1,MOVE,557,595.81384,427.7582,0.21176472,0.19354838
1,1,1,1,MOVE,574,596.36835,420.27213,0.21176472,0.19354838
1,1,1,1,MOVE,590,597.9221,413.89453,0.21176472,0.19354838
1,1,1,1,MOVE,607,599.4758,404.74207,0.21176472,0.19354838
1,1,1,1,MOVE,623,601.0289,395.48383,0.21176472,0.19354838
1,1,1,1,MOVE,640,603.636,386.16345,0.21176472,0.19354838
1,1,1,1,MOVE,657,605.7455,377.84018,0.21176472,0.19354838
1,1,1,1,MOVE,673,607.68805,368.53143,0.21176472,0.19354838
1,1,1,1,MOVE,690,610.2395,359.9376,0.21176472,0.19354838
1,1,1,1,MOVE,706,611.78076,353.49182,0.21176472,0.19354838
1,1,1,1,MOVE,723,613.344,347.242,0.21176472,0.19354838
1,1,1,1,MOVE,739,614.902,339.63235,0.21176472,0.19354838
1,1,1,1,MOVE,756,616.4553,331.93246,0.21176472,0.19354838
1,1,1,1,MOVE,772,618.0104,324.09778,0.21568629,0.19354838
1,1,1,1,MOVE,789,619.5618,316.34402,0.21568629,0.19354838
1,1,1,1,MOVE,806,621.11597,309.17746,0.21960786,0.22580644
1,1,1,1,MOVE,822,622.66846,302.97034,0.22352943,0.22580644
1,1,1,1,MOVE,839,624.22363,296.75262,0.22352943,0.22580644
1,1,1,1,MOVE,855,625.7722,290.56113,0.22352943,0.22580644
1,1,1,1,MOVE,872,626.3292,284.33908,0.22352943,0.22580644
1,1,1,1,MOVE,888,626.51056,279.5067,0.23137257,0.22580644
1,1,1,1,MOVE,905,627.50977,274.84488,0.23529413,0.22580644
1,1,1,1,MOVE,922,627.50977,271.6659,0.24313727,0.22580644
1,1,1,1,MOVE,938,628.509,269.58612,0.2509804,0.2580645
1,1,1,1,MOVE,955,629.10016,266.45233,0.2509804,0.2580645
1,1,1,1,MOVE,971,629.5082,264.49298,0.2509804,0.2580645
1,1,1,1,MOVE,988,629.5082,262.93384,0.2509804,0.2580645
1,1,1,1,MOVE,1004,630.76465,260.12863,0.2509804,0.2580645
1,1,1,1,MOVE,1021,630.5074,257.8346,0.2509804,0.2580645
1,1,1,1,MOVE,1037,630.5074,254.91919,0.25882354,0.2580645
1,1,1,1,MOVE,1054,630.5074,253.73062,0.2627451,0.2580645
1,1,1,1,MOVE,1071,630.5074,253.6517,0.27058825,0.2580645
1,1,1,1,MOVE,1087,630.5074,251.62311,0.27450982,0.2580645
1,1,1,1,MOVE,1104,630.5074,251.0711,0.27450982,0.2580645
1,1,1,1,MOVE,1120,630.5074,249.5174,0.27450982,0.2580645
1,1,1,1,MOVE,1137,630.5074,248.96121,0.27450982,0.2580645
1,1,1,1,MOVE,1153,630.5074,247.4125,0.28235295,0.29032257
1,1,1,1,MOVE,1170,630.5074,246.85669,0.28627452,0.29032257
1,1,1,1,MOVE,1187,630.5074,245.30283,0.29411766,0.29032257
1,1,1,1,MOVE,1203,630.5074,244.74854,0.29803923,0.29032257
1,1,1,1,MOVE,1220,630.5074,243.19592,0.30588236,0.29032257
1,1,1,1,MOVE,1236,630.5074,240.61377,0.3137255,0.32258064
1,1,1,1,MOVE,1253,630.5074,239.09128,0.31764707,0.32258064
1,1,1,1,MOVE,1269,630.5074,237.54071,0.33333334,0.32258064
1,1,1,1,MOVE,1286,630.5074,236.98508,0.34117648,0.32258064
1,1,1,1,MOVE,1302,630.5074,235.43802,0.34901962,0.3548387
1,1,1,1,MOVE,1319,630.5074,234.87964,0.3529412,0.3548387
1,1,1,1,MOVE,1336,630.5074,233.32632,0.3647059,0.3548387
1,1,1,1,MOVE,1352,630.5074,232.77582,0.37254903,0.3548387
1,1,1,1,MOVE,1369,630.5074,231.21844,0.3921569,0.38709676
1,1,1,1,MOVE,1385,630.5074,230.66754,0.41176474,0.41935483
1,1,1,1,MOVE,1401,630.5074,229.18228,0.41960788,0.41935483
1,1,1,1,MOVE,1417,630.5074,229.68166,0.427451,0.41935483
1,1,1,1,MOVE,1435,630.5074,229.68166,0.44705886,0.4516129
1,1,1,1,MOVE,1466,630.5074,229.68166,0.45882356,0.4516129
1,1,1,1,MOVE,1485,630.5074,229.68166,0.4666667,0.4516129
1,1,1,1,MOVE,1514,630.5074,229.68166,0.46274513,0.4516129
1,1,1,1,MOVE,1534,630.5074,229.68166,0.43137258,0.41935483
1,1,1,1,MOVE,1567,630.5074,228.6829,0.43137258,0.41935483
1,1,1,1,MOVE,1584,630.5074,227.22849,0.41960788,0.41935483
1,1,1,1,MOVE,1601,630.5074,227.68414,0.43921572,0.4516129
1,1,1,1,MOVE,1627,630.5074,226.36154,0.454902,0.4516129
1,1,1,1,MOVE,1650,630.5074,226.6854,0.47058827,0.48387095
1,1,1,1,MOVE,1667,631.5276,225.66571,0.48235297,0.48387095
1,1,1,1,MOVE,1698,631.50665,224.35278,0.49411768,0.48387095
1,1,1,1,MOVE,1717,631.50665,224.6879,0.5058824,0.516129
1,1,1,1,MOVE,1746,632.841,223.35416,0.5137255,0.516129
1,1,1,1,MOVE,1766,632.50586,222.50975,0.52156866,0.516129
1,1,1,1,MOVE,1794,632.50586,222.6904,0.5294118,0.516129
1,1,1,1,MOVE,1816,633.76794,221.4289,0.53333336,0.54838705
1,1,1,1,MOVE,1842,633.50507,220.36073,0.5176471,0.516129
1,1,1,1,MOVE,1866,633.50507,220.69289,0.4901961,0.48387095
1,1,1,1,MOVE,1882,633.50507,219.66035,0.48235297,0.48387095
1,1,1,1,MOVE,1913,633.50507,219.69414,0.4784314,0.48387095
1,1,1,1,MOVE,1932,633.50507,219.69414,0.48235297,0.48387095
1,1,1,1,MOVE,1961,633.50507,218.36095,0.4666667,0.4516129
1,1,1,1,MOVE,1982,633.50507,218.69539,0.47450984,0.48387095
1,1,1,1,MOVE,2009,633.50507,218.69539,0.4431373,0.4516129
1,1,1,1,MOVE,2031,633.50507,218.69539,0.454902,0.4516129
1,1,1,1,MOVE,2056,633.50507,218.69539,0.47058827,0.48387095
1,1,1,1,MOVE,2080,633.50507,218.69539,0.4784314,0.48387095
1,1,1,1,MOVE,2097,633.50507,218.69539,0.48627454,0.48387095
1,1,1,1,MOVE,2128,633.50507,218.69539,0.4901961,0.48387095
1,1,1,1,MOVE,2147,633.50507,218.69539,0.49411768,0.48387095
1,1,1,1,MOVE,2175,633.50507,218.69539,0.49803925,0.48387095
1,1,1,1,MOVE,2197,633.50507,218.69539,0.5019608,0.516129
1,1,1,1,MOVE,2223,633.50507,218.69539,0.5058824,0.516129
1,1,1,1,MOVE,2246,633.50507,218.69539,0.5058824,0.516129
1,1,1,1,MOVE,2263,633.50507,218.69539,0.50980395,0.516129
1,1,1,1,MOVE,2294,633.50507,218.69539,0.50980395,0.516129
1,1,1,1,MOVE,2313,633.50507,218.69539,0.50980395,0.516129
1,1,1,1,MOVE,2341,633.50507,218.69539,0.50980395,0.516129
1,1,1,1,MOVE,2362,633.50507,218.69539,0.50980395,0.516129
1,1,1,1,MOVE,2389,633.50507,218.69539,0.50980395,0.516129
1,1,1,1,MOVE,2412,633.50507,218.69539,0.50980395,0.516129
1,1,1,1,MOVE,2429,633.50507,218.69539,0.50980395,0.516129
1,1,1,1,MOVE,2460,633.50507,218.69539,0.50980395,0.516129
1,1,1,1,MOVE,2478,633.50507,218.69539,0.50980395,0.516129
1,1,1,1,MOVE,2508,633.50507,218.69539,0.50980395,0.516129
1,1,1,1,MOVE,2528,633.50507,218.69539,0.50980395,0.516129
1,1,1,1,MOVE,2555,633.50507,218.69539,0.5058824,0.516129
1,1,1,1,MOVE,2578,633.50507,218.69539,0.5019608,0.516129
1,1,1,1,MOVE,2602,633.50507,218.69539,0.5019608,0.516129
1,1,1,1,MOVE,2626,633.50507,218.69539,0.49803925,0.48387095
1,1,1,1,MOVE,2644,633.50507,218.69539,0.48627454,0.48387095
1,1,1,1,MOVE,2674,633.50507,218.69539,0.47058827,0.48387095
1,1,1,1,MOVE,2694,633.50507,218.69539,0.45098042,0.4516129
1,1,1,1,MOVE,2721,633.50507,218.69539,0.46274513,0.4516129
1,1,1,1,MOVE,2743,633.50507,218.69539,0.45882356,0.4516129
1,1,1,1,MOVE,2769,633.50507,218.69539,0.43921572,0.4516129
1,1,1,1,MOVE,2792,633.50507,217.35695,0.39607847,0.38709676
1,1,1,1,UP,2810,633.50507,217.35695,0.39607847,0.38709676
2,1,1,1,DOWN,0,832.34973,645.1623,0.03529412,0.29032257
2,1,1,1,MOVE,20,832.34973,645.1623,0.058823533,0.48387095
