ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,646.49493,543.2897,0.019607844,0.16129032
1,1,1,1,MOVE,19,645.4957,543.2897,0.027450982,0.22580644
1,1,1,1,MOVE,35,644.1298,543.2897,0.050980397,0.41935483
1,1,1,1,MOVE,52,643.49725,543.2897,0.058823533,0.48387095
1,1,1,1,MOVE,68,642.0331,543.2897,0.07450981,0.61290324
1,1,1,1,MOVE,85,641.49884,543.2897,0.09019608,0.7419355
1,1,1,1,MOVE,102,640.49963,543.2897,0.098039225,0.80645156
1,1,1,1,MOVE,118,640.49963,543.2897,0.10980393,0.9032258
1,1,1,1,MOVE,135,640.49963,543.2897,0.1137255,0.9354838
1,1,1,1,MOVE,151,640.49963,543.2897,0.121568635,1.0
1,1,1,1,MOVE,168,640.49963,542.2909,0.1254902,0.12903225
1,1,1,1,MOVE,184,640.49963,540.9793,0.13333334,0.12903225
1,1,1,1,MOVE,201,640.49963,540.2934,0.13333334,0.12903225
1,1,1,1,MOVE,218,639.08563,538.88007,0.13725491,0.12903225
1,1,1,1,MOVE,234,638.5382,538.2959,0.14117648,0.12903225
1,1,1,1,MOVE,251,637.0023,535.2997,0.14901961,0.12903225
1,1,1,1,MOVE,267,637.50195,533.17725,0.14901961,0.12903225
1,1,1,1,MOVE,284,637.50195,530.69305,0.14901961,0.12903225
1,1,1,1,MOVE,300,637.50195,527.98474,0.14901961,0.12903225
1,1,1,1,MOVE,317,637.50195,524.88855,0.14901961,0.12903225
1,1,1,1,MOVE,333,637.50195,520.5625,0.14901961,0.12903225
1,1,1,1,MOVE,350,637.50195,514.0586,0.14901961,0.12903225
1,1,1,1,MOVE,367,637.50195,506.51837,0.14901961,0.12903225
1,1,1,1,MOVE,383,636.6039,499.74896,0.14901961,0.12903225
1,1,1,1,MOVE,400,636.50275,490.54968,0.14901961,0.12903225
1,1,1,1,MOVE,416,635.50354,482.35352,0.14901961,0.12903225
1,1,1,1,MOVE,433,635.50354,475.17026,0.14901961,0.12903225
1,1,1,1,MOVE,449,635.50354,468.97638,0.14901961,0.12903225
1,1,1,1,MOVE,466,635.50354,461.1302,0.14901961,0.12903225
1,1,1,1,MOVE,483,635.50354,454.58508,0.14901961,0.12903225
1,1,1,1,MOVE,499,635.50354,446.6499,0.14901961,0.12903225
1,1,1,1,MOVE,516,635.50354,438.9182,0.14901961,0.12903225
1,1,1,1,MOVE,532,635.50354,428.47537,0.14901961,0.12903225
1,1,1,1,MOVE,549,635.50354,419.05618,0.14901961,0.12903225
1,1,1,1,MOVE,565,635.50354,409.78125,0.14901961,0.12903225
1,1,1,1,MOVE,582,635.50354,400.49368,0.15294118,0.12903225
1,1,1,1,MOVE,598,635.50354,391.1989,0.15294118,0.12903225
1,1,1,1,MOVE,615,635.50354,381.32724,0.15294118,0.12903225
1,1,1,1,MOVE,632,636.6458,371.64505,0.15294118,0.12903225
1,1,1,1,MOVE,648,636.50275,361.36203,0.15294118,0.12903225
1,1,1,1,MOVE,665,637.73883,350.87088,0.15294118,0.12903225
1,1,1,1,MOVE,681,637.50195,341.016,0.15294118,0.12903225
1,1,1,1,MOVE,698,638.8453,331.4882,0.15294118,0.12903225
1,1,1,1,MOVE,714,639.3871,321.24738,0.15686275,0.16129032
1,1,1,1,MOVE,731,639.50037,311.95938,0.16078432,0.16129032
