ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,511.6003,506.33582,0.015686275,0.12903225
1,1,1,1,MOVE,21,511.6003,505.3371,0.023529414,0.19354838
1,1,1,1,MOVE,38,511.6003,503.73077,0.027450982,0.22580644
1,1,1,1,MOVE,54,511.6003,503.3396,0.03529412,0.29032257
1,1,1,1,MOVE,71,511.6003,501.63806,0.039215688,0.32258064
1,1,1,1,MOVE,87,511.6003,501.3421,0.043137256,0.3548387
1,1,1,1,MOVE,104,511.6003,499.54126,0.043137256,0.3548387
1,1,1,1,MOVE,121,511.6003,499.3446,0.050980397,0.41935483
1,1,1,1,MOVE,137,511.6003,497.4436,0.054901965,0.4516129
1,1,1,1,MOVE,154,511.6003,497.3471,0.0627451,0.516129
1,1,1,1,MOVE,170,511.6003,495.34863,0.07058824,0.58064514
1,1,1,1,MOVE,187,511.6003,494.8064,0.07450981,0.61290324
1,1,1,1,MOVE,203,511.6003,493.2577,0.08235294,0.6774193
1,1,1,1,MOVE,220,512.2442,490.4226,0.08235294,0.6774193
1,1,1,1,MOVE,237,514.9874,485.77686,0.08235294,0.6774193
1,1,1,1,MOVE,253,520.57074,477.6499,0.08235294,0.6774193
1,1,1,1,MOVE,270,525.4633,469.9249,0.08235294,0.6774193
1,1,1,1,MOVE,286,531.1208,462.16486,0.08235294,0.6774193
1,1,1,1,MOVE,303,537.1526,454.43546,0.08235294,0.6774193
1,1,1,1,MOVE,319,540.4179,448.6212,0.08235294,0.6774193
1,1,1,1,MOVE,336,543.57086,443.92056,0.08627451,0.7096774
1,1,1,1,MOVE,352,545.6734,439.27017,0.09019608,0.7419355
1,1,1,1,MOVE,369,549.3648,434.63147,0.09411766,0.7741935
1,1,1,1,MOVE,386,552.86755,429.98206,0.09411766,0.7741935
1,1,1,1,MOVE,402,557.6617,424.64145,0.09411766,0.7741935
1,1,1,1,MOVE,419,562.28625,417.23804,0.098039225,0.80645156
1,1,1,1,MOVE,435,566.1485,411.27304,0.10196079,0.83870965
1,1,1,1,MOVE,452,569.2441,406.42746,0.10196079,0.83870965
1,1,1,1,MOVE,468,573.3412,398.9973,0.10196079,0.83870965
1,1,1,1,MOVE,485,577.8735,391.2714,0.10196079,0.83870965
1,1,1,1,MOVE,502,582.5154,383.5385,0.10196079,0.83870965
1,1,1,1,MOVE,518,587.1701,376.32654,0.10196079,0.83870965
1,1,1,1,MOVE,535,591.8089,369.0553,0.10196079,0.83870965
1,1,1,1,MOVE,551,595.4634,361.3028,0.10196079,0.83870965
1,1,1,1,MOVE,568,600.1019,353.57556,0.10196079,0.83870965
1,1,1,1,MOVE,584,603.0073,345.84036,0.10196079,0.83870965
1,1,1,1,MOVE,601,606.1085,338.091,0.10196079,0.83870965
1,1,1,1,MOVE,617,610.2081,328.50348,0.10588236,0.87096775
1,1,1,1,MOVE,634,613.297,320.62778,0.10980393,0.9032258
1,1,1,1,MOVE,651,616.3974,313.8186,0.10980393,0.9032258
1,1,1,1,MOVE,667,619.4953,307.6256,0.1137255,0.9354838
1,1,1,1,MOVE,684,622.5941,299.39325,0.11764707,0.9677419
1,1,1,1,MOVE,700,626.6897,291.65598,0.11764707,0.9677419
1,1,1,1,MOVE,717,629.7806,285.06723,0.11764707,0.9677419
1,1,1,1,MOVE,733,631.88745,278.16818,0.11764707,0.9677419
1,1,1,1,MOVE,750,634.97565,269.21698,0.11764707,0.9677419
1,1,1,1,MOVE,767,637.0783,262.48862,0.11764707,0.9677419
1,1,1,1,MOVE,783,638.84204,256.28372,0.121568635,1.0
1,1,1,1,MOVE,800,640.38196,250.12723,0.121568635,1.0
1,1,1,1,MOVE,816,641.9329,243.92612,0.121568635,1.0
1,1,1,1,MOVE,833,644.46826,235.74463,0.121568635,1.0
1,1,1,1,MOVE,849,647.5668,229.00078,0.121568635,1.0
1,1,1,1,MOVE,866,650.6606,222.35304,0.121568635,1.0
1,1,1,1,MOVE,882,653.7415,216.19409,0.121568635,1.0
1,1,1,1,MOVE,899,656.83185,210.01628,0.121568635,1.0
1,1,1,1,MOVE,916,658.9474,203.78963,0.121568635,1.0
1,1,1,1,MOVE,932,660.7675,197.58691,0.121568635,1.0
1,1,1,1,MOVE,940,661.4832,195.7241,0.121568635,1.0
1,1,2,1,MOVE,940,661.4832,195.7241,0.121568635,1.0
1,1,2,2,DOWN,940,939.2662,359.51935,0.023529414,0.19354838
1,1,2,1,MOVE,965,662.86584,190.96266,0.121568635,1.0
1,1,2,2,MOVE,965,939.2662,358.5206,0.04705883,0.38709676
1,1,2,1,MOVE,982,662.4824,188.8634,0.121568635,1.0
1,1,2,2,MOVE,982,939.2662,357.52185,0.058823533,0.48387095
1,1,2,1,MOVE,998,663.9633,187.25261,0.121568635,1.0
1,1,2,2,MOVE,998,939.2662,357.52185,0.07058824,0.58064514
1,1,2,1,MOVE,1015,663.4816,185.70302,0.121568635,1.0
1,1,2,2,MOVE,1015,939.2662,357.52185,0.07450981,0.61290324
1,1,2,1,MOVE,1032,663.4816,184.15555,0.121568635,1.0
1,1,2,2,MOVE,1032,939.2662,357.52185,0.07450981,0.61290324
1,1,2,1,MOVE,1036,663.4816,183.73907,0.121568635,1.0
1,1,2,2,MOVE,1036,939.2662,357.52185,0.07058824,0.58064514
1,1,2,2,UP,1047,939.2662,357.52185,0.07058824,0.58064514
1,1,2,1,MOVE,1047,663.4816,183.73907,0.121568635,1.0
1,1,1,1,MOVE,1065,663.4816,182.05734,0.121568635,1.0
1,1,1,1,MOVE,1081,663.4816,181.74158,0.1254902,0.12903225
1,1,1,1,MOVE,1098,664.4809,179.95204,0.1254902,0.12903225
1,1,1,1,MOVE,1114,664.4809,179.74408,0.1254902,0.12903225
1,1,1,1,MOVE,1131,665.4801,179.74408,0.1254902,0.12903225
1,1,1,1,MOVE,1147,665.4801,179.74408,0.1254902,0.12903225
1,1,1,1,MOVE,1164,665.4801,179.74408,0.1254902,0.12903225
1,1,1,1,MOVE,1181,665.4801,179.74408,0.1254902,0.12903225
1,1,1,1,MOVE,1197,665.4801,179.74408,0.1254902,0.12903225
1,1,1,1,MOVE,1214,665.4801,179.74408,0.1254902,0.12903225
1,1,1,1,MOVE,1230,665.4801,179.74408,0.12941177,0.12903225
1,1,1,1,MOVE,1247,665.4801,179.74408,0.12941177,0.12903225
1,1,1,1,MOVE,1263,665.4801,181.02448,0.12941177,0.12903225
1,1,1,1,MOVE,1280,664.4809,182.58307,0.12941177,0.12903225
1,1,1,1,MOVE,1297,663.09656,184.12395,0.12941177,0.12903225
1,1,1,1,MOVE,1313,662.4824,184.66835,0.12941177,0.12903225
1,1,1,1,MOVE,1330,660.99054,184.73784,0.12941177,0.12903225
1,1,1,1,MOVE,1346,660.484,184.73784,0.13333334,0.12903225
1,1,1,1,MOVE,1363,660.484,184.73784,0.13333334,0.12903225
1,1,1,1,MOVE,1379,660.484,184.73784,0.13725491,0.12903225
1,1,1,1,MOVE,1396,660.484,184.73784,0.13725491,0.12903225
1,1,1,1,MOVE,1399,660.484,184.73784,0.14117648,0.12903225
1,1,2,1,MOVE,1410,660.484,184.73784,0.14117648,0.12903225
1,1,2,3,DOWN,1410,939.2662,372.50314,0.023529414,0.19354838
1,1,2,1,MOVE,1429,660.484,184.73784,0.14117648,0.12903225
1,1,2,3,MOVE,1429,939.2662,372.50314,0.03529412,0.29032257
1,1,2,1,MOVE,1446,660.484,184.73784,0.14117648,0.12903225
1,1,2,3,MOVE,1446,937.9364,372.50314,0.04705883,0.38709676
1,1,2,1,MOVE,1453,660.484,184.73784,0.14117648,0.12903225
1,1,2,3,MOVE,1453,938.26697,372.50314,0.050980397,0.41935483
1,1,2,3,UP,1463,938.26697,372.50314,0.050980397,0.41935483
1,1,2,1,MOVE,1463,660.484,184.73784,0.14117648,0.12903225
1,1,1,1,MOVE,1479,659.274,184.73784,0.14117648,0.12903225
1,1,1,1,MOVE,1495,658.49475,185.72736,0.14117648,0.12903225
1,1,1,1,MOVE,1512,658.48553,186.73534,0.14117648,0.12903225
1,1,1,1,MOVE,1528,658.48553,187.81021,0.14117648,0.12903225
1,1,1,1,MOVE,1545,658.48553,187.73409,0.14117648,0.12903225
1,1,1,1,MOVE,1562,658.48553,187.73409,0.14901961,0.12903225
1,1,1,1,MOVE,1578,658.48553,187.73409,0.14901961,0.12903225
1,1,1,1,MOVE,1595,658.48553,187.73409,0.14901961,0.12903225
1,1,1,1,MOVE,1611,658.48553,187.73409,0.14901961,0.12903225
1,1,1,1,MOVE,1628,658.48553,187.73409,0.14901961,0.12903225
1,1,1,1,MOVE,1644,657.4863,187.73409,0.14901961,0.12903225
1,1,1,1,MOVE,1661,657.4863,187.73409,0.15294118,0.12903225
1,1,1,1,MOVE,1677,657.4863,187.73409,0.15294118,0.12903225
1,1,1,1,MOVE,1694,657.4863,187.73409,0.15294118,0.12903225
1,1,1,1,MOVE,1711,657.4863,187.73409,0.15294118,0.12903225
1,1,1,1,MOVE,1727,657.4863,188.73283,0.15294118,0.12903225
1,1,1,1,MOVE,1744,657.4863,188.73283,0.15294118,0.12903225
1,1,1,1,MOVE,1760,657.4863,189.51166,0.15294118,0.12903225
1,1,1,1,MOVE,1777,657.4863,189.73158,0.15294118,0.12903225
1,1,1,1,MOVE,1793,657.4863,189.73158,0.15294118,0.12903225
1,1,1,1,MOVE,1810,657.4863,189.73158,0.15294118,0.12903225
1,1,1,1,MOVE,1827,657.4863,189.73158,0.15294118,0.12903225
