ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
6,1,1,1,DOWN,0,333.73926,687.10986,0.04705883,0.38709676
6,1,1,1,MOVE,22,332.74005,686.11115,0.1137255,0.9354838
6,1,1,1,MOVE,38,331.12027,684.4921,0.14117648,0.12903225
6,1,1,1,MOVE,55,330.7416,682.9152,0.18823531,0.19354838
6,1,1,1,MOVE,72,328.98413,678.8436,0.20784315,0.19354838
6,1,1,1,MOVE,88,327.43253,674.191,0.2392157,0.22580644
6,1,1,1,MOVE,105,325.01306,664.93854,0.2509804,0.2580645
6,1,1,1,MOVE,121,323.32877,655.6374,0.27058825,0.2580645
6,1,1,1,MOVE,138,318.8199,641.3739,0.2784314,0.2580645
6,1,1,1,MOVE,155,314.16464,625.8867,0.29411766,0.29032257
6,1,1,1,MOVE,171,309.5154,610.39655,0.30588236,0.29032257
6,1,1,1,MOVE,188,303.205,592.19366,0.30980393,0.29032257
6,1,1,1,MOVE,204,296.98212,573.8938,0.32156864,0.32258064
6,1,1,1,MOVE,221,289.77768,556.0349,0.3254902,0.32258064
6,1,1,1,MOVE,237,283.5621,537.6476,0.33333334,0.32258064
6,1,1,1,MOVE,254,277.34656,517.2935,0.33333334,0.32258064
6,1,1,1,MOVE,271,271.1334,495.55756,0.33333334,0.32258064
6,1,1,1,MOVE,287,265.88303,472.77094,0.33333334,0.32258064
6,1,1,1,MOVE,304,261.21405,451.54953,0.33333334,0.32258064
6,1,1,1,MOVE,320,256.56854,429.277,0.33333334,0.32258064
6,1,1,1,MOVE,337,253.53287,409.5734,0.33333334,0.32258064
6,1,1,1,MOVE,353,250.42064,390.17865,0.33333334,0.32258064
6,1,1,1,MOVE,370,248.31744,368.8321,0.33333334,0.32258064
6,1,1,1,MOVE,386,246.50603,348.6151,0.33333334,0.32258064
6,1,1,1,MOVE,403,244.09987,332.15173,0.3372549,0.32258064
6,1,1,1,MOVE,420,242.40031,316.4701,0.34509805,0.3548387
6,1,1,1,MOVE,436,240.84448,301.88522,0.34901962,0.3548387
6,1,1,1,MOVE,453,238.2945,289.97092,0.35686275,0.3548387
6,1,1,1,MOVE,469,236.74185,279.1075,0.3647059,0.3548387
6,1,1,1,MOVE,486,234.1854,270.47238,0.37254903,0.3548387
6,1,1,1,MOVE,502,231.44374,261.5155,0.3803922,0.38709676
6,1,1,1,MOVE,519,229.33752,254.94183,0.38431376,0.38709676
6,1,1,1,MOVE,536,227.52733,249.77179,0.3921569,0.38709676
6,1,1,1,MOVE,552,224.97676,245.1199,0.39607847,0.38709676
6,1,1,1,MOVE,569,222.0231,240.46304,0.4039216,0.38709676
6,1,1,1,MOVE,585,220.86247,237.74161,0.40784317,0.41935483
6,1,1,1,MOVE,602,219.31262,235.64212,0.4156863,0.41935483
6,1,1,1,MOVE,618,217.76176,232.54187,0.41960788,0.41935483
6,1,1,1,MOVE,635,217.20384,230.4278,0.42352945,0.41935483
6,1,1,1,MOVE,651,215.64958,227.32074,0.43137258,0.41935483
6,1,1,1,MOVE,668,215.09193,225.2072,0.43529415,0.41935483
6,1,1,1,MOVE,685,213.54031,223.39665,0.43529415,0.41935483
6,1,1,1,MOVE,701,212.98581,222.6904,0.43529415,0.41935483
6,1,1,1,MOVE,718,211.43333,221.29065,0.43921572,0.4516129
6,1,1,1,MOVE,734,210.87517,219.73401,0.43921572,0.4516129
6,1,1,1,MOVE,751,209.83606,219.18027,0.43921572,0.4516129
6,1,1,1,MOVE,767,208.77069,217.63051,0.4431373,0.4516129
6,1,1,1,MOVE,784,207.83763,217.07281,0.44705886,0.4516129
6,1,1,1,MOVE,801,207.83763,215.5177,0.454902,0.4516129
6,1,1,1,MOVE,817,207.10416,214.966,0.45882356,0.4516129
6,1,1,1,MOVE,834,206.83841,213.40613,0.4666667,0.4516129
6,1,1,1,MOVE,850,206.83841,212.85384,0.47058827,0.48387095
6,1,1,1,MOVE,867,206.83841,211.30396,0.47058827,0.48387095
6,1,1,1,MOVE,883,206.83841,210.75217,0.47058827,0.48387095
6,1,1,1,MOVE,900,206.83841,209.70662,0.47058827,0.48387095
6,1,1,1,MOVE,916,206.83841,208.6412,0.46274513,0.4516129
6,1,1,1,MOVE,933,206.83841,207.70912,0.45882356,0.4516129
6,1,1,1,MOVE,950,206.83841,206.52858,0.43137258,0.41935483
6,1,1,1,UP,958,206.83841,206.52858,0.43137258,0.41935483
TPS: 5
