ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,648.49335,205.71161,0.03137255,0.2580645
1,1,1,1,MOVE,16,648.49335,205.71161,0.050980397,0.41935483
1,1,1,1,MOVE,33,648.49335,205.71161,0.08627451,0.7096774
1,1,1,1,MOVE,50,648.49335,205.71161,0.10196079,0.83870965
1,1,1,1,MOVE,66,648.49335,205.71161,0.12941177,0.12903225
1,1,1,1,MOVE,83,648.49335,205.71161,0.14509805,0.12903225
1,1,1,1,MOVE,99,648.49335,204.39018,0.1764706,0.16129032
1,1,1,1,MOVE,116,648.49335,203.83347,0.18823531,0.19354838
1,1,1,1,MOVE,132,648.49335,202.28252,0.21568629,0.19354838
1,1,1,1,MOVE,149,648.49335,202.71536,0.227451,0.22580644
1,1,1,1,MOVE,165,648.49335,202.71536,0.2509804,0.2580645
1,1,1,1,MOVE,182,648.49335,202.71536,0.27450982,0.2580645
1,1,1,1,MOVE,198,648.49335,202.71536,0.28627452,0.29032257
1,1,1,1,MOVE,215,648.49335,202.71536,0.30980393,0.29032257
1,1,1,1,MOVE,232,648.49335,202.71536,0.32156864,0.32258064
1,1,1,1,MOVE,248,648.49335,202.71536,0.34509805,0.3548387
1,1,1,1,MOVE,265,648.49335,202.71536,0.3529412,0.3548387
1,1,1,1,MOVE,281,648.49335,202.71536,0.37647063,0.38709676
1,1,1,1,MOVE,298,648.49335,202.71536,0.3921569,0.38709676
1,1,1,1,MOVE,314,648.49335,202.71536,0.43137258,0.41935483
1,1,1,1,MOVE,331,648.49335,202.71536,0.46274513,0.4516129
1,1,1,1,MOVE,348,648.49335,202.71536,0.4784314,0.48387095
1,1,1,1,MOVE,364,648.49335,202.71536,0.5019608,0.516129
1,1,1,1,MOVE,381,648.49335,202.71536,0.50980395,0.516129
1,1,1,1,MOVE,397,648.49335,204.02692,0.5254902,0.516129
1,1,1,1,MOVE,414,648.49335,203.71411,0.53333336,0.54838705
1,1,1,1,MOVE,430,648.49335,203.71411,0.5411765,0.54838705
1,1,1,1,MOVE,447,648.49335,203.71411,0.54509807,0.54838705
1,1,1,1,MOVE,459,648.49335,203.71411,0.54901963,0.54838705
1,1,1,1,MOVE,480,648.49335,203.71411,0.5529412,0.54838705
1,1,1,1,MOVE,508,648.49335,203.71411,0.5568628,0.54838705
1,1,1,1,MOVE,530,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,556,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,579,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,596,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,627,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,646,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,675,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,695,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,723,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,745,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,771,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,794,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,811,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,842,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,861,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,890,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,911,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,938,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,960,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,985,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,1010,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,1027,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,1057,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,1076,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,1105,648.49335,203.71411,0.56078434,0.54838705
1,1,1,1,MOVE,1126,648.49335,203.71411,0.56078434,0.54838705
