ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
2,1,1,1,DOWN,0,677.4707,677.1224,0.039215688,0.32258064
2,1,1,1,MOVE,26,677.4707,676.1236,0.10196079,0.83870965
2,1,1,1,MOVE,43,676.4715,674.05096,0.15294118,0.12903225
2,1,1,1,MOVE,59,675.4723,673.5234,0.1764706,0.16129032
2,1,1,1,MOVE,76,674.3146,671.97015,0.21176472,0.19354838
2,1,1,1,MOVE,93,673.4739,671.41644,0.227451,0.22580644
2,1,1,1,MOVE,109,672.20935,669.86597,0.25490198,0.2580645
2,1,1,1,MOVE,126,671.4754,666.4844,0.26666668,0.2580645
2,1,1,1,MOVE,142,670.09985,664.7611,0.28627452,0.29032257
2,1,1,1,MOVE,159,669.477,659.34235,0.29411766,0.29032257
2,1,1,1,MOVE,175,669.477,653.2047,0.30588236,0.29032257
2,1,1,1,MOVE,192,669.477,644.84576,0.3137255,0.32258064
2,1,1,1,MOVE,208,669.477,635.52625,0.31764707,0.32258064
2,1,1,1,MOVE,225,669.477,626.23694,0.3254902,0.32258064
2,1,1,1,MOVE,242,668.74396,617.529,0.3254902,0.32258064
2,1,1,1,MOVE,258,668.4777,609.82684,0.33333334,0.32258064
2,1,1,1,MOVE,275,666.66595,603.14886,0.33333334,0.32258064
2,1,1,1,MOVE,291,666.4793,595.30237,0.33333334,0.32258064
2,1,1,1,MOVE,308,664.5407,588.5325,0.3372549,0.32258064
2,1,1,1,MOVE,324,664.4809,582.29346,0.34509805,0.3548387
2,1,1,1,MOVE,341,662.43207,576.04724,0.34901962,0.3548387
2,1,1,1,MOVE,357,662.4824,570.454,0.34901962,0.3548387
2,1,1,1,MOVE,374,662.4824,565.7941,0.34901962,0.3548387
2,1,1,1,MOVE,391,662.4824,559.40894,0.34901962,0.3548387
2,1,1,1,MOVE,407,662.4824,553.24,0.34901962,0.3548387
2,1,1,1,MOVE,424,662.4824,548.8231,0.34901962,0.3548387
2,1,1,1,MOVE,440,662.4824,544.1647,0.34901962,0.3548387
2,1,1,1,MOVE,457,662.4824,540.4254,0.34901962,0.3548387
2,1,1,1,MOVE,473,662.4824,537.7989,0.35686275,0.3548387
2,1,1,1,MOVE,490,662.4824,535.18396,0.35686275,0.3548387
2,1,1,1,MOVE,507,662.4824,532.6956,0.35686275,0.3548387
2,1,1,1,MOVE,523,662.4824,529.9871,0.3647059,0.3548387
2,1,1,1,MOVE,540,662.4824,528.5918,0.36862746,0.3548387
2,1,1,1,MOVE,556,662.4824,528.30835,0.37254903,0.3548387
2,1,1,1,MOVE,573,662.4824,526.4711,0.37647063,0.38709676
2,1,1,1,MOVE,589,662.4824,526.31085,0.3803922,0.38709676
2,1,1,1,MOVE,606,661.54065,524.3707,0.38431376,0.38709676
2,1,1,1,MOVE,623,661.4832,524.31335,0.38823533,0.38709676
2,1,1,1,MOVE,639,661.4832,522.2658,0.3921569,0.38709676
2,1,1,1,MOVE,656,661.4832,521.7085,0.3921569,0.38709676
2,1,1,1,MOVE,672,661.4832,520.1504,0.39607847,0.38709676
2,1,1,1,MOVE,689,661.4832,519.5981,0.40000004,0.38709676
2,1,1,1,MOVE,705,661.4832,518.04205,0.40784317,0.41935483
2,1,1,1,MOVE,722,660.484,517.4879,0.41176474,0.41935483
2,1,1,1,MOVE,738,660.484,515.93787,0.41960788,0.41935483
2,1,1,1,MOVE,755,660.484,515.39154,0.42352945,0.41935483
2,1,1,1,MOVE,772,660.484,514.32587,0.43529415,0.41935483
2,1,1,1,MOVE,788,660.484,513.2697,0.45098042,0.4516129
2,1,1,1,MOVE,805,660.484,512.32837,0.45882356,0.4516129
2,1,1,1,MOVE,821,660.484,511.1579,0.47450984,0.48387095
2,1,1,1,MOVE,838,660.484,510.33087,0.48235297,0.48387095
2,1,1,1,MOVE,854,660.484,510.33087,0.5058824,0.516129
2,1,1,1,MOVE,871,660.484,510.33087,0.5137255,0.516129
2,1,1,1,MOVE,888,660.484,510.33087,0.5294118,0.516129
2,1,1,1,MOVE,904,660.484,510.33087,0.53333336,0.54838705
2,1,1,1,MOVE,920,660.484,510.33087,0.5411765,0.54838705
2,1,1,1,MOVE,937,660.484,509.3321,0.54901963,0.54838705
2,1,1,1,MOVE,954,660.484,508.33337,0.5529412,0.54838705
2,1,1,1,MOVE,970,660.484,508.33337,0.5568628,0.54838705
2,1,1,1,MOVE,979,660.484,508.33337,0.56078434,0.54838705
2,1,1,1,MOVE,1003,660.484,508.33337,0.56078434,0.54838705
2,1,1,1,MOVE,1028,660.484,508.33337,0.56078434,0.54838705
2,1,1,1,MOVE,1052,660.484,508.33337,0.56078434,0.54838705
2,1,1,1,MOVE,1070,660.484,508.33337,0.56078434,0.54838705
2,1,1,1,MOVE,1100,660.484,508.33337,0.56078434,0.54838705
2,1,1,1,MOVE,1119,660.484,508.33337,0.56078434,0.54838705
2,1,1,1,MOVE,1147,660.484,508.33337,0.56078434,0.54838705
2,1,1,1,MOVE,1169,660.484,508.33337,0.56078434,0.54838705
2,1,1,1,MOVE,1194,660.484,508.33337,0.56078434,0.54838705
