ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,238.81343,351.52936,0.054901965,0.4516129
1,1,1,1,MOVE,13,238.81343,351.52936,0.098039225,0.80645156
1,1,1,1,MOVE,30,238.81343,351.52936,0.13725491,0.12903225
1,1,1,1,MOVE,46,238.81343,351.52936,0.20392159,0.19354838
1,1,1,1,MOVE,63,238.81343,351.52936,0.23529413,0.22580644
1,1,1,1,MOVE,80,240.26834,351.52936,0.2901961,0.29032257
1,1,1,1,MOVE,96,241.83604,351.52936,0.33333334,0.32258064
1,1,1,1,MOVE,113,244.9406,350.96408,0.34901962,0.3548387
1,1,1,1,MOVE,129,249.167,350.5306,0.3803922,0.38709676
1,1,1,1,MOVE,146,254.4895,349.53183,0.3921569,0.38709676
1,1,1,1,MOVE,162,260.66287,348.3167,0.4156863,0.41935483
1,1,1,1,MOVE,179,266.92108,347.53433,0.42352945,0.41935483
1,1,1,1,MOVE,195,273.10214,346.20712,0.43921572,0.4516129
1,1,1,1,MOVE,212,279.32455,344.65225,0.44705886,0.4516129
1,1,1,1,MOVE,229,286.9506,341.67178,0.46274513,0.4516129
1,1,1,1,MOVE,245,295.74023,339.5539,0.4666667,0.4516129
1,1,1,1,MOVE,262,303.46085,337.46774,0.4784314,0.48387095
1,1,1,1,MOVE,278,312.29584,334.37085,0.48627454,0.48387095
1,1,1,1,MOVE,295,319.9973,332.25452,0.48627454,0.48387095
1,1,1,1,MOVE,311,328.92557,329.16315,0.4901961,0.48387095
1,1,1,1,MOVE,328,336.5239,326.04648,0.49411768,0.48387095
1,1,1,1,MOVE,345,346.84494,322.9605,0.5019608,0.516129
1,1,1,1,MOVE,361,358.69525,319.8251,0.5058824,0.516129
1,1,1,1,MOVE,378,368.24066,316.73004,0.5137255,0.516129
1,1,1,1,MOVE,394,377.47147,313.64346,0.5137255,0.516129
1,1,1,1,MOVE,411,388.36957,310.5312,0.5137255,0.516129
1,1,1,1,MOVE,427,399.19757,307.43893,0.5176471,0.516129
1,1,1,1,MOVE,444,410.08466,304.32974,0.52156866,0.516129
1,1,1,1,MOVE,461,419.73755,301.23706,0.52156866,0.516129
1,1,1,1,MOVE,477,430.80734,298.86035,0.5254902,0.516129
1,1,1,1,MOVE,494,442.89413,296.0387,0.5254902,0.516129
1,1,1,1,MOVE,510,451.68558,293.7618,0.5294118,0.516129
1,1,1,1,MOVE,527,459.57874,292.2159,0.5372549,0.54838705
1,1,1,1,MOVE,543,468.34784,290.6627,0.5411765,0.54838705
1,1,1,1,MOVE,560,477.1039,289.11203,0.5411765,0.54838705
1,1,1,1,MOVE,576,485.81903,287.5762,0.5411765,0.54838705
1,1,1,1,MOVE,593,492.6041,286.01346,0.5411765,0.54838705
1,1,1,1,MOVE,610,499.28,285.61176,0.5411765,0.54838705
1,1,1,1,MOVE,626,505.4476,283.90326,0.5411765,0.54838705
1,1,1,1,MOVE,643,511.64316,283.61423,0.5411765,0.54838705
1,1,1,1,MOVE,659,517.0476,281.79932,0.5411765,0.54838705
1,1,1,1,MOVE,676,523.03345,281.61673,0.5411765,0.54838705
1,1,1,1,MOVE,692,526.4254,279.7008,0.5411765,0.54838705
1,1,1,1,MOVE,709,531.0507,279.61923,0.5372549,0.54838705
