ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,1279.0007,562.2659,0.015686275,0.12903225
1,1,1,1,MOVE,15,1279.0007,562.2659,0.023529414,0.19354838
1,1,1,1,MOVE,31,1279.0007,562.2659,0.03137255,0.2580645
1,1,1,1,MOVE,48,1278.4623,562.2659,0.04705883,0.38709676
1,1,1,1,MOVE,64,1278.0016,562.2659,0.054901965,0.4516129
1,1,1,1,UP,74,1278.0016,562.2659,0.054901965,0.4516129
1,2,1,1,DOWN,0,1259.0164,575.2497,0.027450982,0.22580644
1,2,1,1,MOVE,16,1258.0172,574.251,0.043137256,0.3548387
1,2,1,1,MOVE,33,1258.0172,574.251,0.07058824,0.58064514
1,2,1,1,MOVE,49,1258.0172,574.251,0.08235294,0.6774193
1,2,1,1,MOVE,66,1258.0172,574.251,0.098039225,0.80645156
1,2,1,1,MOVE,82,1258.0172,573.5273,0.10588236,0.87096775
1,2,1,1,MOVE,99,1259.2853,571.98456,0.121568635,1.0
1,2,1,1,MOVE,115,1263.4901,566.13226,0.1254902,0.12903225
1,2,1,1,MOVE,132,1266.7646,558.3853,0.13333334,0.12903225
1,2,1,1,MOVE,148,1268.0094,553.4955,0.13725491,0.12903225
1,2,1,1,MOVE,165,1269.4795,550.33813,0.14509805,0.12903225
1,2,1,1,MOVE,182,1269.0085,549.24896,0.15294118,0.12903225
1,2,1,1,MOVE,198,1269.0085,547.7027,0.15294118,0.12903225
1,2,1,1,MOVE,215,1269.0085,547.28467,0.15294118,0.12903225
1,2,1,1,MOVE,231,1269.0085,545.60486,0.15686275,0.16129032
1,2,1,1,MOVE,248,1269.0085,545.2872,0.15686275,0.16129032
1,2,1,1,MOVE,264,1269.0085,543.50336,0.16078432,0.16129032
1,2,1,1,MOVE,281,1269.0085,543.2897,0.16862746,0.16129032
1,2,1,1,MOVE,297,1269.0085,542.2909,0.17254902,0.16129032
1,2,1,1,MOVE,314,1269.0085,542.2909,0.18039216,0.16129032
1,2,1,1,MOVE,331,1269.0085,541.3008,0.18431373,0.16129032
1,2,1,1,MOVE,347,1268.4686,541.2922,0.18823531,0.19354838
1,2,1,1,MOVE,364,1268.0094,541.2922,0.19607845,0.19354838
1,2,1,1,MOVE,380,1267.0101,541.2922,0.20000002,0.19354838
1,2,1,1,MOVE,397,1267.0101,541.2922,0.20392159,0.19354838
1,2,1,1,MOVE,413,1266.011,541.2922,0.20392159,0.19354838
1,2,1,1,MOVE,430,1264.7181,541.2922,0.20784315,0.19354838
1,2,1,1,MOVE,447,1264.167,541.2922,0.21176472,0.19354838
1,2,1,1,MOVE,463,1264.0125,541.2922,0.21568629,0.19354838
1,2,1,1,MOVE,480,1262.0643,541.2922,0.21960786,0.22580644
1,2,1,1,MOVE,496,1262.014,541.2922,0.22352943,0.22580644
1,2,1,1,MOVE,513,1259.9647,541.2922,0.22352943,0.22580644
1,2,1,1,MOVE,529,1258.417,540.693,0.22352943,0.22580644
1,2,1,1,MOVE,546,1256.8671,540.2934,0.22352943,0.22580644
1,2,1,1,MOVE,562,1254.6166,539.2946,0.22352943,0.22580644
1,2,1,1,MOVE,579,1252.7695,538.0444,0.22352943,0.22580644
1,2,1,1,MOVE,596,1250.2184,536.4933,0.22352943,0.22580644
1,2,1,1,MOVE,612,1247.3323,533.6084,0.22352943,0.22580644
1,2,1,1,MOVE,629,1246.1215,532.39825,0.22352943,0.22580644
1,2,1,1,MOVE,645,1246.0265,532.3034,0.227451,0.22580644
1,2,1,1,MOVE,662,1243.0201,530.2971,0.23137257,0.22580644
1,2,1,1,MOVE,678,1239.92,529.751,0.23137257,0.22580644
1,2,1,1,MOVE,695,1237.9297,528.2053,0.23137257,0.22580644
1,2,1,1,MOVE,712,1234.7014,526.6435,0.23137257,0.22580644
1,2,1,1,MOVE,728,1232.8192,525.09467,0.23137257,0.22580644
1,2,1,1,MOVE,737,1231.0382,524.31335,0.23137257,0.22580644
1,2,2,1,MOVE,737,1231.0382,524.31335,0.23137257,0.22580644
1,2,2,2,DOWN,737,1279.0007,718.07117,0.019607844,0.16129032
1,2,2,1,MOVE,761,1226.4061,520.6821,0.23137257,0.22580644
1,2,2,2,MOVE,761,1279.0007,717.07245,0.03529412,0.29032257
1,2,2,1,MOVE,778,1222.4349,518.58057,0.23137257,0.22580644
1,2,2,2,MOVE,778,1279.0007,715.2048,0.043137256,0.3548387
1,2,2,1,MOVE,794,1220.6277,516.90393,0.23137257,0.22580644
1,2,2,2,MOVE,794,1279.0007,715.07495,0.058823533,0.48387095
1,2,2,1,MOVE,811,1216.1044,515.3518,0.23137257,0.22580644
1,2,2,2,MOVE,811,1278.0288,713.1046,0.06666667,0.54838705
1,2,2,1,MOVE,828,1212.0078,512.8051,0.23529413,0.22580644
1,2,2,2,MOVE,828,1277.0023,712.5554,0.08235294,0.6774193
1,2,2,1,MOVE,844,1208.9003,511.252,0.2392157,0.22580644
1,2,2,2,MOVE,844,1275.9255,711.0023,0.09019608,0.7419355
1,2,2,1,MOVE,861,1206.808,509.7071,0.2392157,0.22580644
1,2,2,2,MOVE,861,1275.0039,710.4561,0.09411766,0.7741935
1,2,2,1,MOVE,877,1203.7113,508.1595,0.2392157,0.22580644
1,2,2,2,MOVE,877,1273.8307,708.90845,0.10196079,0.83870965
1,2,2,1,MOVE,894,1201.6051,506.60742,0.2392157,0.22580644
1,2,2,2,MOVE,894,1273.0055,708.3553,0.10588236,0.87096775
1,2,2,1,MOVE,910,1198.504,505.05768,0.2392157,0.22580644
1,2,2,2,MOVE,910,1271.7267,706.8054,0.1137255,0.9354838
1,2,2,1,MOVE,927,1196.4067,503.51013,0.2392157,0.22580644
1,2,2,2,MOVE,927,1271.0071,706.2567,0.11764707,0.9677419
1,2,2,1,MOVE,943,1193.3071,501.961,0.2392157,0.22580644
1,2,2,2,MOVE,943,1269.6278,704.7076,0.121568635,1.0
1,2,2,1,MOVE,960,1191.1978,500.40747,0.2392157,0.22580644
1,2,2,2,MOVE,960,1269.0085,704.15283,0.121568635,1.0
1,2,2,1,MOVE,977,1189.5847,498.85925,0.2392157,0.22580644
1,2,2,2,MOVE,977,1267.5238,702.6045,0.11764707,0.9677419
1,2,2,1,MOVE,993,1185.9988,497.3098,0.2392157,0.22580644
1,2,2,2,MOVE,993,1267.0101,700.0191,0.10196079,0.83870965
1,2,2,1,MOVE,1010,1183.8982,495.76062,0.2392157,0.22580644
1,2,2,2,MOVE,1010,1265.423,697.5084,0.09411766,0.7741935
1,2,2,1,MOVE,1026,1181.9395,494.2138,0.2392157,0.22580644
1,2,2,2,MOVE,1026,1262.7391,693.69,0.08235294,0.6774193
1,2,2,1,MOVE,1043,1178.705,492.66583,0.2392157,0.22580644
1,2,2,2,MOVE,1043,1260.641,690.045,0.08235294,0.6774193
1,2,2,1,MOVE,1059,1175.626,489.90082,0.2392157,0.22580644
1,2,2,2,MOVE,1059,1257.562,685.42865,0.08235294,0.6774193
1,2,2,1,MOVE,1076,1171.6932,487.76483,0.2392157,0.22580644
1,2,2,2,MOVE,1076,1255.4249,682.52136,0.08235294,0.6774193
1,2,2,1,MOVE,1093,1168.4026,484.67834,0.2392157,0.22580644
1,2,2,2,MOVE,1093,1252.337,679.4349,0.08235294,0.6774193
1,2,2,1,MOVE,1109,1163.4078,480.68463,0.2392157,0.22580644
1,2,2,2,MOVE,1109,1249.2351,676.3345,0.08235294,0.6774193
1,2,2,1,MOVE,1126,1157.3129,477.48035,0.2392157,0.22580644
1,2,2,2,MOVE,1126,1246.1349,673.23566,0.07450981,0.61290324
1,2,2,1,MOVE,1142,1152.1167,473.3882,0.2392157,0.22580644
1,2,2,2,MOVE,1142,1242.0409,670.1423,0.07058824,0.58064514
1,2,2,1,MOVE,1159,1146.9247,470.29126,0.2392157,0.22580644
1,2,2,2,MOVE,1159,1237.3988,667.04535,0.0627451,0.516129
1,2,2,1,MOVE,1175,1140.756,467.2083,0.2392157,0.22580644
1,2,2,2,MOVE,1175,1233.8596,663.9624,0.0627451,0.516129
1,2,2,1,MOVE,1192,1134.5275,464.09555,0.23529413,0.22580644
1,2,2,2,MOVE,1192,1229.1002,661.49536,0.06666667,0.54838705
1,2,2,1,MOVE,1208,1128.3195,460.99295,0.23529413,0.22580644
1,2,2,2,MOVE,1208,1225.6428,658.7458,0.07450981,0.61290324
1,2,2,1,MOVE,1225,1122.1233,457.89636,0.23529413,0.22580644
1,2,2,2,MOVE,1225,1220.7963,655.6492,0.078431375,0.6451613
1,2,2,1,MOVE,1242,1115.9192,456.0964,0.23529413,0.22580644
1,2,2,2,MOVE,1242,1217.4443,653.8492,0.078431375,0.6451613
1,2,2,1,MOVE,1258,1109.7166,452.69464,0.23529413,0.22580644
1,2,2,2,MOVE,1258,1212.4904,650.44745,0.078431375,0.6451613
1,2,2,1,MOVE,1275,1103.5203,451.0006,0.23529413,0.22580644
1,2,2,2,MOVE,1275,1209.2466,648.75336,0.078431375,0.6451613
1,2,2,1,MOVE,1291,1097.3104,447.49323,0.23529413,0.22580644
1,2,2,2,MOVE,1291,1204.1849,645.24603,0.078431375,0.6451613
1,2,2,1,MOVE,1308,1092.6462,445.91138,0.2392157,0.22580644
1,2,2,2,MOVE,1308,1201.0618,643.6642,0.078431375,0.6451613
