ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,1039.1881,43.913857,0.054901965,0.4516129
1,1,1,1,MOVE,11,1039.1881,42.781273,0.10196079,0.83870965
1,1,1,1,MOVE,28,1039.1881,42.253258,0.14901961,0.12903225
1,1,1,1,MOVE,44,1039.1881,40.701202,0.23529413,0.22580644
1,1,1,1,MOVE,61,1039.1881,40.917603,0.2784314,0.2580645
1,1,1,1,MOVE,77,1039.1881,40.917603,0.34509805,0.3548387
1,1,1,1,MOVE,94,1039.1881,40.917603,0.37254903,0.3548387
1,1,1,1,MOVE,110,1039.1881,40.917603,0.41960788,0.41935483
1,1,1,1,MOVE,127,1038.2897,40.917603,0.43921572,0.4516129
1,1,1,1,MOVE,143,1038.189,42.36064,0.47058827,0.48387095
1,1,1,1,MOVE,160,1036.1888,43.915436,0.49411768,0.48387095
1,1,1,1,MOVE,176,1034.6571,45.980476,0.5058824,0.516129
1,1,1,1,MOVE,193,1032.0228,49.078278,0.52156866,0.516129
1,1,1,1,MOVE,210,1028.2938,52.80564,0.5294118,0.516129
1,1,1,1,MOVE,226,1023.6408,57.45639,0.5372549,0.54838705
1,1,1,1,MOVE,243,1019.0106,61.085663,0.5411765,0.54838705
1,1,1,1,MOVE,259,1013.1447,64.420105,0.54901963,0.54838705
1,1,1,1,MOVE,276,1007.109,68.3458,0.5529412,0.54838705
1,1,1,1,MOVE,292,1000.7858,71.59543,0.56078434,0.54838705
1,1,1,1,MOVE,309,993.56915,75.70145,0.56078434,0.54838705
1,1,1,1,MOVE,325,985.848,80.29746,0.56078434,0.54838705
1,1,1,1,MOVE,342,979.1842,83.89436,0.56078434,0.54838705
1,1,1,1,MOVE,359,971.4924,87.50858,0.56078434,0.54838705
1,1,1,1,MOVE,375,964.8705,91.04282,0.56078434,0.54838705
1,1,1,1,MOVE,392,957.016,94.14562,0.56078434,0.54838705
1,1,1,1,MOVE,408,949.3346,98.4,0.56078434,0.54838705
1,1,1,1,MOVE,425,940.5521,101.32731,0.56078434,0.54838705
1,1,1,1,MOVE,441,932.86255,105.68184,0.56078434,0.54838705
1,1,1,1,MOVE,458,924.1095,108.50055,0.56078434,0.54838705
1,1,1,1,MOVE,475,914.94275,112.99873,0.56078434,0.54838705
1,1,1,1,MOVE,491,906.7532,115.6703,0.56078434,0.54838705
1,1,1,1,MOVE,508,898.4584,119.76561,0.56078434,0.54838705
1,1,1,1,MOVE,524,890.15735,122.87404,0.56078434,0.54838705
1,1,1,1,MOVE,541,883.48846,125.93985,0.56078434,0.54838705
1,1,1,1,MOVE,557,875.7624,129.02884,0.56078434,0.54838705
1,1,1,1,MOVE,574,868.64056,132.14398,0.56078434,0.54838705
1,1,1,1,MOVE,591,861.30347,135.20918,0.56078434,0.54838705
1,1,1,1,MOVE,607,852.76044,138.3203,0.56078434,0.54838705
1,1,1,1,MOVE,624,843.5289,141.39604,0.56078434,0.54838705
1,1,1,1,MOVE,640,836.09607,143.4897,0.56078434,0.54838705
1,1,1,1,MOVE,657,829.7874,145.17836,0.56078434,0.54838705
1,1,1,1,MOVE,673,822.63544,147.67291,0.56078434,0.54838705
1,1,1,1,MOVE,690,816.4207,149.26753,0.56078434,0.54838705
1,1,1,1,MOVE,706,810.2344,150.81339,0.56078434,0.54838705
1,1,1,1,MOVE,723,802.48615,153.35445,0.56078434,0.54838705
1,1,1,1,MOVE,740,795.8815,156.02206,0.56078434,0.54838705
1,1,1,1,MOVE,756,788.3123,158.12836,0.56078434,0.54838705
1,1,1,1,MOVE,773,780.27637,159.99156,0.56078434,0.54838705
1,1,1,1,MOVE,789,771.56085,162.53287,0.56078434,0.54838705
1,1,1,1,MOVE,806,765.1275,164.08234,0.56078434,0.54838705
1,1,1,1,MOVE,822,758.9524,165.62538,0.56078434,0.54838705
1,1,1,1,MOVE,839,752.7949,167.16405,0.56078434,0.54838705
1,1,1,1,MOVE,856,746.59326,169.71248,0.56078434,0.54838705
1,1,1,1,MOVE,872,740.4028,171.76343,0.56078434,0.54838705
1,1,1,1,MOVE,889,734.26917,174.82881,0.56078434,0.54838705
1,1,1,1,MOVE,905,729.0472,177.93796,0.56078434,0.54838705
1,1,1,1,MOVE,922,722.82196,181.0491,0.56078434,0.54838705
1,1,1,1,MOVE,938,717.6822,185.1159,0.56078434,0.54838705
1,1,1,1,MOVE,955,711.5239,188.19363,0.56078434,0.54838705
1,1,1,1,MOVE,971,707.1074,189.5119,0.56078434,0.54838705
1,1,1,1,MOVE,988,703.81195,191.04906,0.56078434,0.54838705
1,1,1,1,MOVE,1005,698.8276,192.60349,0.56078434,0.54838705
1,1,1,1,MOVE,1021,695.6165,195.56427,0.56078434,0.54838705
1,1,1,1,MOVE,1038,690.55786,196.69044,0.56078434,0.54838705
1,1,1,1,MOVE,1054,686.91223,199.23676,0.56078434,0.54838705
1,1,1,1,MOVE,1071,682.30615,200.77136,0.56078434,0.54838705
1,1,1,1,MOVE,1087,679.2454,203.32657,0.56078434,0.54838705
1,1,1,1,MOVE,1104,676.14795,204.87456,0.56078434,0.54838705
1,1,1,1,MOVE,1120,673.0704,207.41138,0.56078434,0.54838705
1,1,1,1,MOVE,1137,669.9911,210.1915,0.56078434,0.54838705
1,1,1,1,MOVE,1154,667.68054,211.5022,0.56078434,0.54838705
1,1,1,1,MOVE,1170,666.14325,213.0388,0.56078434,0.54838705
1,1,1,1,MOVE,1187,664.59436,214.58696,0.56078434,0.54838705
1,1,1,1,MOVE,1203,663.0509,216.12961,0.56078434,0.54838705
1,1,1,1,MOVE,1220,661.5023,216.69788,0.56078434,0.54838705
1,1,1,1,MOVE,1236,659.95306,217.69664,0.56078434,0.54838705
1,1,1,1,MOVE,1253,659.4848,217.69664,0.56078434,0.54838705
1,1,1,1,MOVE,1270,657.8675,217.69664,0.56078434,0.54838705
1,1,1,1,MOVE,1286,657.4863,217.69664,0.56078434,0.54838705
1,1,1,1,MOVE,1303,655.7737,217.69664,0.56078434,0.54838705
1,1,1,1,MOVE,1319,655.4879,217.69664,0.56078434,0.54838705
1,1,1,1,MOVE,1336,653.68085,217.69664,0.56078434,0.54838705
1,1,1,1,MOVE,1352,653.48944,217.69664,0.56078434,0.54838705
1,1,1,1,MOVE,1369,653.48944,217.69664,0.56078434,0.54838705
1,1,1,1,MOVE,1385,653.48944,217.69664,0.56078434,0.54838705
1,1,1,1,MOVE,1402,653.48944,218.70224,0.56078434,0.54838705
1,1,1,1,MOVE,1419,653.48944,219.23169,0.56078434,0.54838705
1,1,1,1,MOVE,1435,653.48944,219.69414,0.56078434,0.54838705
1,1,1,1,MOVE,1452,653.48944,220.69289,0.56078434,0.54838705
1,1,1,1,MOVE,1468,653.48944,221.88689,0.56078434,0.54838705
1,1,1,1,MOVE,1485,653.48944,221.69164,0.56078434,0.54838705
1,1,1,1,MOVE,1514,653.48944,221.69164,0.56078434,0.54838705
1,1,1,1,MOVE,1535,653.48944,221.69164,0.56078434,0.54838705
1,1,1,1,MOVE,1562,653.48944,221.69164,0.56078434,0.54838705
1,1,1,1,MOVE,1584,653.48944,221.69164,0.56078434,0.54838705
1,1,1,1,MOVE,1610,653.48944,221.69164,0.56078434,0.54838705
1,1,1,1,MOVE,1633,653.48944,221.69164,0.56078434,0.54838705
1,1,1,1,MOVE,1651,653.48944,221.69164,0.56078434,0.54838705
1,1,1,1,MOVE,1667,653.48944,221.69164,0.56078434,0.54838705
1,1,1,1,MOVE,1700,653.48944,221.69164,0.56078434,0.54838705
1,1,1,1,MOVE,1717,653.48944,221.69164,0.56078434,0.54838705
1,1,1,1,MOVE,1748,653.48944,221.69164,0.56078434,0.54838705
1,1,1,1,MOVE,1766,653.48944,221.69164,0.56078434,0.54838705
1,1,1,1,MOVE,1796,653.48944,221.69164,0.56078434,0.54838705
1,1,1,1,MOVE,1816,653.48944,221.69164,0.56078434,0.54838705
1,1,1,1,MOVE,1844,653.48944,221.69164,0.56078434,0.54838705
1,1,1,1,MOVE,1866,653.48944,221.69164,0.56078434,0.54838705
1,1,1,1,MOVE,1892,653.48944,221.69164,0.56078434,0.54838705
1,1,1,1,MOVE,1915,653.48944,221.69164,0.56078434,0.54838705
1,1,1,1,MOVE,1932,653.48944,221.69164,0.56078434,0.54838705
1,1,1,1,MOVE,1964,653.48944,221.69164,0.56078434,0.54838705
1,1,1,1,MOVE,1982,653.48944,221.69164,0.56078434,0.54838705
1,1,1,1,MOVE,2011,653.48944,221.69164,0.56078434,0.54838705
1,1,1,1,MOVE,2031,652.2941,221.69164,0.5529412,0.54838705
1,1,1,1,MOVE,2059,652.49023,221.69164,0.54509807,0.54838705
1,1,1,1,MOVE,2081,651.2081,221.69164,0.53333336,0.54838705
1,1,1,1,MOVE,2106,650.1558,221.69164,0.52156866,0.516129
1,1,1,1,MOVE,2130,650.4918,221.69164,0.50980395,0.516129
1,1,1,1,MOVE,2147,649.4204,221.69164,0.49803925,0.48387095
1,1,1,1,MOVE,2177,648.1566,221.69164,0.48627454,0.48387095
1,1,1,1,MOVE,2197,648.49335,221.69164,0.4784314,0.48387095
1,1,1,1,MOVE,2225,647.1606,221.69164,0.47058827,0.48387095
1,1,1,1,MOVE,2247,646.24384,221.69164,0.46274513,0.4516129
1,1,1,1,MOVE,2273,646.49493,221.69164,0.45882356,0.4516129
1,1,1,1,MOVE,2296,645.15674,221.69164,0.454902,0.4516129
1,1,1,1,MOVE,2313,644.4669,221.69164,0.45098042,0.4516129
1,1,1,1,MOVE,2344,644.49646,221.69164,0.44705886,0.4516129
1,1,1,1,MOVE,2363,643.3753,221.69164,0.4431373,0.4516129
1,1,1,1,MOVE,2392,642.1623,221.69164,0.43921572,0.4516129
1,1,1,1,MOVE,2412,642.49805,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2439,641.1626,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2462,641.49884,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2479,641.49884,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2510,641.49884,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2528,641.49884,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2558,641.49884,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2578,641.49884,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2605,641.49884,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2628,641.49884,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2653,641.49884,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2676,641.49884,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2694,640.43066,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2724,640.49963,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2744,640.49963,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2772,640.49963,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2793,640.49963,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2819,640.49963,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2843,640.49963,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2860,640.49963,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2891,640.49963,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2909,640.49963,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2938,640.49963,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2959,640.49963,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,2986,640.49963,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,3009,640.49963,221.69164,0.43529415,0.41935483
